step,"[0,0,0]","[0,1,0]","[1,0,0]","[1,1,0]","[1,1,1]",proliferation_rate,death_rate,mutation_rate,fitness,scenario,treatment,seed
845,0,0,0,0,2293,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
846,0,0,0,0,2339,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
847,0,0,0,0,2394,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
848,0,0,0,0,2443,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
849,0,0,0,0,2488,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
850,0,0,0,0,2535,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
851,0,0,0,0,2546,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
852,0,0,0,0,2605,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
853,0,0,0,0,2664,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
854,0,0,0,0,2699,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
855,0,0,0,0,2739,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
856,0,0,0,0,2779,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
857,0,0,0,0,2838,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
858,0,0,0,0,2879,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
859,0,0,0,0,2937,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
860,0,0,0,0,2977,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
861,0,0,0,0,3033,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
862,0,0,0,0,3082,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
863,0,0,0,0,3122,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
864,0,0,0,0,3176,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
865,0,0,0,0,3219,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
866,0,0,0,0,3284,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
867,0,0,0,0,3335,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
868,0,0,0,0,3390,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
869,0,0,0,0,3448,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
870,0,0,0,0,3520,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
871,0,0,0,0,3594,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
872,0,0,0,0,3669,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
873,0,0,0,0,3728,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
874,0,0,0,0,3786,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
875,0,0,0,0,3862,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
876,0,0,0,0,3916,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
877,0,0,0,0,3973,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
878,0,0,0,0,4023,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
879,0,0,0,0,4074,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
880,0,0,0,0,4130,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
881,0,0,0,0,4193,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
882,0,0,0,0,4245,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
883,0,0,0,0,4320,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
884,0,0,0,0,4415,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
885,0,0,0,0,4505,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
886,0,0,0,0,4605,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
887,0,0,0,0,4679,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
888,0,0,0,0,4739,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
889,0,0,0,0,4797,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
890,0,0,0,0,4885,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
891,0,0,0,0,4951,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
892,0,0,0,0,5012,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
893,0,0,0,0,5086,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
894,0,0,0,0,5139,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
895,0,0,0,0,5228,0.015,"Dict{Vector{Int64}, Real}([0, 1, 0] => 1.2, [1, 0, 0] => 1.3, [0, 0, 0] => 1, [1, 1, 1] => 1.2, [1, 1, 0] => 1.5)","Treatment(3000, 2000, 0, 3, Float16(0.75), false, false)",0.027,0.01,3,"TumorSim.Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
