step,current_size,treatment,scenario
236,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
237,9,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
238,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
239,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
240,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
241,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
242,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
243,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
244,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
245,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
246,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
247,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
248,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
249,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
250,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
251,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
252,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
253,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
254,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
255,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
256,9,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
257,8,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
258,8,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
259,8,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
260,8,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
261,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
262,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
263,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
264,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
265,8,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
266,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
267,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
268,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
269,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
270,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
271,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
272,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
273,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
274,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
275,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
276,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
277,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
278,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
279,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
280,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
281,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
282,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
283,8,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
284,8,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
285,8,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
286,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
287,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
288,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
289,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
290,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
291,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
292,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
293,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
294,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
295,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
296,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
297,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
298,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
299,7,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
300,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
301,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
302,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
303,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
304,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
305,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
306,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
307,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
308,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
309,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
310,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
311,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
312,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
313,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
314,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
315,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
316,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
317,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
318,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
319,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
320,5,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
321,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
322,6,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 1, 1, [(500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1), (500001, 1, 1)], Any[])"
